Price,Bedroom,Bathroom,Square feet,Street,City/State
"$2,150,000",1bd,1ba,"1,026 sqft",401 Harrison St #38B,"South Beach, San Francisco, CA"
"$4,100,000",1bd,1ba,"1,466 sqft",301 Mission St #50C,"South Beach, San Francisco, CA"
"$888,000",1bd,1ba,785 sqft,20 Prague St,"Excelsior, San Francisco, CA"
"$1,099,000+",1bd,1ba,831 sqft,338 Potrero Ave #203,"Potrero Hill, San Francisco, CA"
"$759,888",5bd,2ba,"1,360 sqft",161 Rey St,"Visitacion Valley, San Francisco, CA"
"$1,315,000+",1bd,1ba,713 sqft,1300 22nd St #219,"Potrero Hill, San Francisco, CA"
"$1,499,000",2bd,1ba,793 sqft,325 29th Ave,"Central Richmond, San Francisco, CA"
"$1,180,000",1bd,3ba,785 sqft,1160 Mission St #1707,"SoMa, San Francisco, CA"
"$2,495,000",3bd,1ba,950 sqft,2756 Baker St,"Cow Hollow, San Francisco, CA"
"$1,061,000",2bd,2ba,634 sqft,226 18th Ave,"Central Richmond, San Francisco, CA"
"$1,690,000",1bd,2ba,"1,196 sqft",333 Beale St #C3B,"South Beach, San Francisco, CA"
"$1,125,000",5bd,1ba,600 sqft,425 1st St #1107,"South Beach, San Francisco, CA"
"$1,198,000",3bd,1ba,"1,370 sqft",631 Folsom St #10C,"South Beach, San Francisco, CA"
"$4,495,000",3bd,1ba,"1,340 sqft",3900 3rd St,"Bayview, San Francisco, CA"
"$1,395,000",1bd,2ba,"1,281 sqft",945 Scott St,"Alamo Square, San Francisco, CA"
"$893,651+",2bd,1ba,"1,304 sqft",Plan 2A-ALT in The Village at Garden Valley,"Downtown, San Francisco, CA"
"$2,198,000",2bd,2ba,"2,158 sqft",170 Pacific Ave #35,"Financial District, San Francisco, CA"
"$1,795,000",2bd,3ba,"1,273 sqft",690 Market St #901,"Downtown, San Francisco, CA"
"$1,995,000",5bd,1ba,"1,495 sqft",2147 Bay St,"Marina, San Francisco, CA"
"$985,000",1bd,3ba,"1,793 sqft",1 Hawthorne St #16D,"South Beach, San Francisco, CA"
"$1,329,000",3bd,3ba,"1,878 sqft",333 Main St #7A,"South Beach, San Francisco, CA"
"$1,188,000",3bd,1ba,"1,500 sqft",508 Dwight St,"Portola, San Francisco, CA"
"$1,399,000",5bd,2ba,"1,130 sqft",701 Vermont St,"Potrero Hill, San Francisco, CA"
"$2,090,000",2bd,2ba,"2,251 sqft",234 Balboa St,"Inner Richmond, San Francisco, CA"
"$1,495,000",2bd,1ba,"1,315 sqft",650 Delancey St #304,"South Beach, San Francisco, CA"
"$799,000",1bd,1ba,"1,139 sqft",2058 45th Ave,"Outer Sunset, San Francisco, CA"
"$1,565,000",1bd,1ba,"1,485 sqft",1257 Francisco St,"Marina, San Francisco, CA"
"$1,878,000",1bd,1ba,"2,076 sqft",1480 Golden Gate Ave,"Alamo Square, San Francisco, CA"
"$1,195,000",8bd,2ba,"1,976 sqft",264 Henry St,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$529,000",2bd,2ba,"1,106 sqft",205 Salinas Ave,"Bayview, San Francisco, CA"
"$1,640,000+",1bd,2ba,900 sqft,1450 Franklin St,"Civic Center, San Francisco, CA"
"$1,050,000",6bd,1ba,"2,395 sqft",611 Paris St,"Excelsior, San Francisco, CA"
"$399,900",2bd,3ba,"1,480 sqft",1299 Fitzgerald Ave,"Bayview, San Francisco, CA"
"$1,500,000",5bd,2ba,"1,291 sqft",2016 Fell St,"Panhandle, San Francisco, CA"
"$1,149,000",1bd,1ba,"2,184 sqft",2975 Harrison St,"Mission, San Francisco, CA"
"$1,499,000",4bd,2ba,"1,737 sqft",1423 Golden Gate Ave,"Alamo Square, San Francisco, CA"
"$1,788,000",4bd,2ba,"1,207 sqft",145-147 Bernard St,"Nob Hill, San Francisco, CA"
"$1,100,000",2bd,2ba,"1,745 sqft",125 Gilbert St #2,"Mission Bay, San Francisco, CA"
"$1,299,000",1bd,1ba,"1,236 sqft",426 14th St #A,"Mission Dolores, San Francisco, CA"
"$1,195,000",2bd,1ba,"1,749 sqft",733 Front St #606,"Financial District, San Francisco, CA"
"$599,000",1bd,1ba,"2,440 sqft",2807 Market St,"Castro, San Francisco, CA"
"$985,000",2bd,1ba,"1,305 sqft",356 12th St #101,"SoMa, San Francisco, CA"
"$718,000",4bd,2ba,"1,540 sqft",5800 3rd St #1207,"Bayview, San Francisco, CA"
"$1,080,000",3bd,2ba,930 sqft,266 Country Club Dr,"Stonestown, San Francisco, CA"
"$1,038,000+",2bd,1ba,800 sqft,72 Townsend St #603,"South Beach, San Francisco, CA"
"$1,049,000+",1bd,1ba,"1,605 sqft",2 Bedroom / 2 Bath Plan in Rowan,"Potrero Hill, San Francisco, CA"
"$2,995,000+",2bd,4ba,926 sqft,"2 Bedroom Flat, 603 Plan in The Pacific","Pacific Heights, San Francisco, CA"
"$2,420,000+",2bd,3ba,"2,525 sqft",Plan A1 in The District at Lower Pacific Heights,"Lower Pacific Heights, San Francisco, CA"
"$890,000+",6bd,2ba,"1,330 sqft",Plan D1 in The District at Lower Pacific Heights,"Lower Pacific Heights, San Francisco, CA"
"$1,025,000+",5bd,1ba,"1,950 sqft",Unit C Plan in 72 Townsend,"Potrero Hill, San Francisco, CA"
"$1,039,000+",5bd,1ba,"1,335 sqft",Unit H Plan in 72 Townsend,"Potrero Hill, San Francisco, CA"
"$795,000+",7bd,2ba,"4,816 sqft",1 Bedroom Plan in Knox,"Potrero Hill, San Francisco, CA"
"$1,480,000+",6bd,2ba,"1,690 sqft",#106 Plan in ONE Mission Bay,"Mission Bay, San Francisco, CA"
"$725,000",2bd,5ba,980 sqft,180 Dolores St,"Castro, San Francisco, CA"
"$2,950,000",3bd,3ba,900 sqft,519 Ellis St,"Tenderloin, San Francisco, CA"
"$1,295,000",4bd,1ba,"1,275 sqft",2040 Franklin St #904,"Pacific Heights, San Francisco, CA"
"$2,499,000",5bd,4ba,"1,282 sqft",338 Spear St #35E,"South Beach, San Francisco, CA"
"$1,959,000",5bd,2ba,931 sqft,301 Mission St #304,"South Beach, San Francisco, CA"
"$1,540,000+",4bd,4ba,770 sqft,#701 Plan in ONE Mission Bay,"Mission Bay, San Francisco, CA"
"$2,250,000",4bd,1ba,"1,200 sqft",440 Kansas St,"Potrero Hill, San Francisco, CA"
"$1,595,000",3bd,3ba,"2,120 sqft",690 Market St #1702,"Downtown, San Francisco, CA"
"$2,325,000+",5bd,4ba,662 sqft,Residence 6 Plan in LUMINA,"South Beach, San Francisco, CA"
"$1,699,000",15bd,1ba,"1,342 sqft",432 Laurel St,"Presidio Heights, San Francisco, CA"
"$3,500,000",3bd,1ba,"1,750 sqft",430 Eddy St,"Tenderloin, San Francisco, CA"
"$3,895,000+",5bd,2ba,232 sqft,2.5 Bedroom Flat Plan in The Pacific,"Pacific Heights, San Francisco, CA"
"$2,300,000",2bd,1ba,409 sqft,2175 Hayes St,"Panhandle, San Francisco, CA"
"$1,068,000",4bd,2ba,"1,084 sqft",121 Otter Cove Ter,"Bayview, San Francisco, CA"
"$999,000",1bd,3ba,766 sqft,249 Edinburgh St,"Excelsior, San Francisco, CA"
"$1,449,000",4bd,2ba,892 sqft,177 Townsend St #1131,"South Beach, San Francisco, CA"
"$3,800,000",3bd,2ba,"1,600 sqft",550 Davis St #20,"Financial District, San Francisco, CA"
"$1,650,000",4bd,1ba,770 sqft,235 Berry St #410,"Mission Bay, San Francisco, CA"
"$1,802,000+",3bd,1ba,"1,430 sqft",E1111 Plan in Rockwell,"Civic Center, San Francisco, CA"
"$2,675,000+",4bd,1ba,"1,726 sqft",EPH06 Plan in Rockwell,"Civic Center, San Francisco, CA"
"$3,749,000+",4bd,2ba,734 sqft,Penthouse 2 Plan in 1450 Franklin,"Civic Center, San Francisco, CA"
"$3,450,000+",4bd,7ba,"1,244 sqft",#1301 Plan in ONE Mission Bay,"Mission Bay, San Francisco, CA"
"$1,475,000+",2bd,3ba,"1,521 sqft",Unit L Plan in 72 Townsend,"Potrero Hill, San Francisco, CA"
"$1,799,000+",3bd,7ba,715 sqft,Unit B Plan in 72 Townsend,"Potrero Hill, San Francisco, CA"
"$4,995,000+",1bd,11ba,750 sqft,3 Bedroom NE Corner Plan in The Pacific,"Pacific Heights, San Francisco, CA"
"$1,995,000+",6bd,4ba,735 sqft,"3-Bedroom, 504 Plan in Knox","Potrero Hill, San Francisco, CA"
"$1,705,000+",3bd,2ba,740 sqft,#809 Plan in ONE Mission Bay,"Mission Bay, San Francisco, CA"
"$1,268,000",1bd,4ba,"2,006 sqft",1315 Silliman St,"Portola, San Francisco, CA"
Contact For Estimate,3bd,4ba,"1,868 sqft",2075 Quesada Ave,"Silver Terrace, San Francisco, CA"
Contact For Estimate,2bd,5ba,544 sqft,74 Everglade Dr,"Merced Manor, San Francisco, CA"
Contact For Estimate,4bd,5ba,"1,094 sqft",106 Madrid St,"Excelsior, San Francisco, CA"
Contact For Estimate,4bd,5ba,806 sqft,615 Lakeview Ave,"Ingleside, San Francisco, CA"
Contact For Estimate,3bd,5ba,"1,260 sqft",3028 20th Ave,"Merced Manor, San Francisco, CA"
Contact For Estimate,2bd,4ba,"1,938 sqft",144 Stonecrest Dr,"San Francisco State University, San Francisco, CA"
Contact For Estimate,2bd,5ba,597 sqft,1666 25th Ave,"Central Sunset, San Francisco, CA"
Contact For Estimate,2bd,10ba,"2,113 sqft",3650 16th St,"Duboce Triangle, San Francisco, CA"
Contact For Estimate,2bd,4ba,"1,345 sqft",600 Sutter St #6C,"Downtown, San Francisco, CA"
Contact For Estimate,2bd,4ba,"1,410 sqft",354 Bright St,"Ingleside Heights, San Francisco, CA"
Contact For Estimate,2bd,1ba,807 sqft,152 Everson St,"Glen Park, San Francisco, CA"
Contact For Estimate,3bd,3ba,291 sqft,1828 Eddy St #4,"Western Addition, San Francisco, CA"
Contact For Estimate,2bd,1ba,820 sqft,1135 Phelps St #1145,"Bayview, San Francisco, CA"
Contact For Estimate,1bd,4ba,750 sqft,2011 Powell St,"North Beach, San Francisco, CA"
Contact For Estimate,2bd,1ba,"2,340 sqft",224 Guttenberg St,"Crocker Amazon, San Francisco, CA"
Contact For Estimate,6bd,4ba,580 sqft,2446 27th Ave,"Central Sunset, San Francisco, CA"
Contact For Estimate,5bd,4ba,650 sqft,2266 9th Ave,"Forest Hill, San Francisco, CA"
Contact For Estimate,2bd,2ba,"2,685 sqft",1315 39th Ave,"Outer Sunset, San Francisco, CA"
Contact For Estimate,1bd,3ba,"1,839 sqft",120 Rolph St,"Crocker Amazon, San Francisco, CA"
Contact For Estimate,4bd,4ba,"2,001 sqft",387 Paris St,"Excelsior, San Francisco, CA"
Contact For Estimate,3bd,6ba,920 sqft,1130 Shotwell St,"Mission, San Francisco, CA"
Contact For Estimate,1bd,2ba,883 sqft,8 Otsego Ave,"Mission Terrace, San Francisco, CA"
Contact For Estimate,5bd,3ba,"1,782 sqft",1521 Sutter St #405,"Lower Pacific Heights, San Francisco, CA"
Contact For Estimate,2bd,1ba,"7,885 sqft",42 Caine Ave,"Ingleside, San Francisco, CA"
Contact For Estimate,1bd,1ba,"1,700 sqft",125 Peru Ave,"Excelsior, San Francisco, CA"
Contact For Estimate,,2ba,831 sqft,1567 22nd Ave,"Central Sunset, San Francisco, CA"
Contact For Estimate,,2ba,"6,085 sqft",1160 Mission St #812,"SoMa, San Francisco, CA"
"$925,800",,1ba,"1,160 sqft",50 Jerrold Ave #411,"Hunters Point, San Francisco, CA"
"$1,400,000",,2ba,"2,416 sqft",3535-3537 Anza St,"Central Richmond, San Francisco, CA"
"$435,000",,3ba,769 sqft,412 Green St #A,"Telegraph Hill, San Francisco, CA"
"$35,000",,2ba,"3,040 sqft",81 22nd Ave,"Sea Cliff, San Francisco, CA"
"$519,000",,2ba,"4,509 sqft",3653 Buchanan St #A,"Marina, San Francisco, CA"
"$231,129",,3ba,"1,048 sqft",95 Ora Way #307,"Diamond Heights, San Francisco, CA"
"$780,000",,2ba,876 sqft,875 La Playa St #383,"Outer Richmond, San Francisco, CA"
"$679,219",,2ba,736 sqft,170 King St #1111,"South Beach, San Francisco, CA"
"$819,000",,3ba,"1,137 sqft",1070 Post St #3,"Civic Center, San Francisco, CA"
"$759,000",,2ba,"1,475 sqft",6 Carpenter Ct,"Bayview, San Francisco, CA"
"$775,000",,1ba,"2,796 sqft",197 Moreland St,"Glen Park, San Francisco, CA"
"$699,000",,3ba,"1,637 sqft",225 Farallones St,"Oceanview, San Francisco, CA"
"$679,000",,3ba,989 sqft,26 Garrison Ave,"Visitacion Valley, San Francisco, CA"
"$695,000",,2ba,781 sqft,1930 Mission St #105,"Mission, San Francisco, CA"
"$775,000",,1ba,"1,298 sqft",1578 Indiana St #4,"Central Waterfront, San Francisco, CA"
"$532,196",,2ba,815 sqft,315 Santa Rosa Ave #5,"Mission Terrace, San Francisco, CA"
"$350,000",,4ba,"1,410 sqft",1450 Post St #412,"Lower Pacific Heights, San Francisco, CA"
"$649,000",,4ba,"6,305 sqft",152 Sagamore St,"Oceanview, San Francisco, CA"
"$585,000",,2ba,"2,076 sqft",184 Locksley Ave #5,"Forest Knolls, San Francisco, CA"
"$395,000",,1ba,"5,490 sqft",1450 Post St #511,"Lower Pacific Heights, San Francisco, CA"
"$1,200,000",,2ba,"16,000 sqft",1160 Florida St,"Mission, San Francisco, CA"
"$1,000,000",,3ba,"3,900 sqft",1619 48th Ave,"Outer Sunset, San Francisco, CA"
"$335,000",,1ba,"1,024 sqft",1450 Post St #817,"Lower Pacific Heights, San Francisco, CA"
"$695,000",,3ba,"2,419 sqft",1450 Post St #716,"Lower Pacific Heights, San Francisco, CA"
"$648,600",,2ba,"3,814 sqft",570 Innes Ave #301,"Hunters Point, San Francisco, CA"
"$761,750",,1ba,"3,915 sqft",8 Cuvier St,"Bernal Heights, San Francisco, CA"
"$2,750,000",,1ba,"3,740 sqft",3157 Jackson St,"Presidio Heights, San Francisco, CA"
"$599,000",,,"3,890 sqft",240 Lombard St #332,"Fisherman's Wharf, San Francisco, CA"
"$1,849,000",,,"6,383 sqft",2344 Franklin St,"Pacific Heights, San Francisco, CA"
"$698,000",,,"3,382 sqft",566 London St,"Excelsior, San Francisco, CA"
"$1,175,000",,,"4,058 sqft",633 6th Ave,"Inner Richmond, San Francisco, CA"
"$395,000",,,"13,643 sqft",401 Crescent Ct #4201,"Bayview, San Francisco, CA"
"$389,000",,,"3,390 sqft",195 7th St #406,"SoMa, San Francisco, CA"
"$799,000",,,"3,660 sqft",336 Bradford St,"Bernal Heights, San Francisco, CA"
"$599,900",,,"1,071 sqft",971 Avalon Ave,"Excelsior, San Francisco, CA"
"$795,000",,,"1,285 sqft",964 Minnesota St,"Central Waterfront, San Francisco, CA"
"$699,999",,,752 sqft,146 Tucker Ave,"Visitacion Valley, San Francisco, CA"
"$609,950",,,"3,200 sqft",240 Lombard St #429,"Fisherman's Wharf, San Francisco, CA"
"$629,000",,,613 sqft,1485 Van Dyke Ave,"Bayview, San Francisco, CA"
"$3,950,000",,,"7,300 sqft",1050 Filbert St,"Russian Hill, San Francisco, CA"
Contact For Estimate,,,"3,591 sqft",1276 Geneva Ave,"Crocker Amazon, San Francisco, CA"
"$2,000,000",,,"3,425 sqft",1150 Lombard St #27,"Russian Hill, San Francisco, CA"
"$998,000",,,"2,574 sqft",244 30th St #244,"Noe Valley, San Francisco, CA"
"$1,250,000",,,"1,338 sqft",1775 Broadway #9,"Pacific Heights, San Francisco, CA"
"$625,000",,,"3,360 sqft",1450 Post St #909,"Lower Pacific Heights, San Francisco, CA"
"$825,000",,,"2,155 sqft",1450 Post St #217,"Lower Pacific Heights, San Francisco, CA"
"$7,495,000",,,"3,440 sqft",1735 Franklin St,"Pacific Heights, San Francisco, CA"
"$1,695,000",,,"4,025 sqft",235 Berry St #101,"Mission Bay, San Francisco, CA"
"$798,000",,,970 sqft,501 Beale St #1D,"South Beach, San Francisco, CA"
"$10,000,000",,,"2,255 sqft",2557 Filbert St,"Cow Hollow, San Francisco, CA"
"$25,000,000",,,656 sqft,1515 V,"Diamond Heights, San Francisco, CA"
"$849,000",,,903 sqft,601 Van Ness Ave #70,"Civic Center, San Francisco, CA"
"$1,549,000",,,"3,210 sqft",490 Vermont St,"Potrero Hill, San Francisco, CA"
"$799,000",,,"1,650 sqft",2 Mint Plz #402,"SoMa, San Francisco, CA"
"$2,499,000",,,749 sqft,2980 California St,"Pacific Heights, San Francisco, CA"
"$2,690,000",,,"1,300 sqft",406 Lansdale Ave,"Sherwood Forest, San Francisco, CA"
"$898,000",,,"1,288 sqft",3191 California St,"Lower Pacific Heights, San Francisco, CA"
"$749,000",,,"1,890 sqft",900 Bush St #512,"Downtown, San Francisco, CA"
"$875,000",,,"1,680 sqft",201 Harrison St #913,"South Beach, San Francisco, CA"
"$898,000",,,"3,300 sqft",920 Harrison St #8,"SoMa, San Francisco, CA"
"$1,495,000",,,"1,070 sqft",1569 Grove St,"Northern Park, San Francisco, CA"
"$1,895,000",,,"1,391 sqft",239 Clinton Park,"Mission Dolores, San Francisco, CA"
"$1,499,000",,,"3,350 sqft",1312 Leavenworth St,"Nob Hill, San Francisco, CA"
"$1,189,000",,,"1,150 sqft",1868 Van Ness Ave #201,"Nob Hill, San Francisco, CA"
"$769,000",,,"2,500 sqft",201 Harrison St #126,"South Beach, San Francisco, CA"
"$948,000",,,"3,724 sqft",67 Meadowbrook Dr,"Merced Manor, San Francisco, CA"
"$622,732",,,"1,709 sqft",1001 Pine St #905,"Downtown, San Francisco, CA"
"$1,395,000",,,"3,064 sqft",1255 California St #204,"Downtown, San Francisco, CA"
"$12,000,000",,,"1,971 sqft",898 Francisco St,"Russian Hill, San Francisco, CA"
"$1,799,000",,,"1,581 sqft",2479 Diamond St,"Glen Park, San Francisco, CA"
"$9,750,000",,,840 sqft,1994 Jackson St,"Pacific Heights, San Francisco, CA"
"$29,500,000",,,"4,750 sqft",2820 Scott St,"Cow Hollow, San Francisco, CA"
"$5,695,000",,,"9,880 sqft",2405 Washington St,"Pacific Heights, San Francisco, CA"
"$775,000",,,"1,259 sqft",1580 Great Hwy #1,"Outer Sunset, San Francisco, CA"
"$5,995,000",,,"3,250 sqft",1100 Sacramento St #902,"Nob Hill, San Francisco, CA"
"$5,995,000",,,"1,310 sqft",301 Mission St #401,"South Beach, San Francisco, CA"
"$4,990,000",,,"2,285 sqft",3962 Clay St,"Presidio Heights, San Francisco, CA"
"$4,995,000",,,"1,299 sqft",2566 Pine St,"Lower Pacific Heights, San Francisco, CA"
"$12,000,000",,,804 sqft,1032 Broadway,"Russian Hill, San Francisco, CA"
"$6,500,000",,,"1,855 sqft",11 San Jacinto Way,"Monterey Heights, San Francisco, CA"
"$9,500,000",,,"2,460 sqft",301 Main St #37B,"South Beach, San Francisco, CA"
"$6,169,000",,,"1,450 sqft",2830 Buchanan St,"Pacific Heights, San Francisco, CA"
"$22,000,000",,,"3,600 sqft",3001 Pacific Ave,"Pacific Heights, San Francisco, CA"
"$4,195,000",,,"2,960 sqft",6 Mint Plz #900A,"SoMa, San Francisco, CA"
"$5,950,000",,,"8,661 sqft",2625 Scott St,"Pacific Heights, San Francisco, CA"
"$6,500,000",,,"1,807 sqft",3669 21st St,"Noe Valley, San Francisco, CA"
"$789,000",,,761 sqft,1839 Newhall St,"Silver Terrace, San Francisco, CA"
"$495,000",,,511 sqft,81 Ervine St,"Visitacion Valley, San Francisco, CA"
"$789,000",,,,555 4th St #737,"Mission Bay, San Francisco, CA"
"$3,995,000",,,,548 Rhode Island St,"Potrero Hill, San Francisco, CA"
"$639,000",,,,2999 California St #603,"Lower Pacific Heights, San Francisco, CA"
"$3,995,000",,,,1201 Powell St,"Nob Hill, San Francisco, CA"
"$3,950,000",,,,631 Ofarrell St #2101,"Tenderloin, San Francisco, CA"
"$3,250,000",,,,361 Upper Ter,"Ashbury Heights, San Francisco, CA"
"$1,100,000",,,,4079 Mission St,"Bernal Heights, San Francisco, CA"
"$798,000",,,,4451 Mission St #301,"Excelsior, San Francisco, CA"
"$4,380,000",,,,3 Russian Hill Pl,"Russian Hill, San Francisco, CA"
"$2,468,000",,,,322 28th St,"Noe Valley, San Francisco, CA"
"$2,590,000",,,,532 Natoma St,"SoMa, San Francisco, CA"
"$2,699,000",,,,2418 16th Ave,"Inner Parkside, San Francisco, CA"
"$760,700",,,,570 Innes Ave #204,"Hunters Point, San Francisco, CA"
"$2,595,000",,,,170 Pacific Ave #4,"Financial District, San Francisco, CA"
"$699,000",,,,1177 California St #630,"Downtown, San Francisco, CA"
"$879,000",,,,260 King St #915,"Mission Bay, San Francisco, CA"
"$4,250,000",,,,1736-1738 Bryant St,"Mission, San Francisco, CA"
"$1,680,000",,,,1571 Grove St,"Northern Park, San Francisco, CA"
"$775,000",,,,601 Van Ness Ave #501,"Civic Center, San Francisco, CA"
"$995,000",,,,2122 40th Ave,"Outer Sunset, San Francisco, CA"
"$1,399,000",,,,1512 Pacific Ave,"Nob Hill, San Francisco, CA"
"$899,000",,,,90 Megan Dr #2,"Bayview, San Francisco, CA"
"$1,050,000",,,,408 Holyoke St,"Portola, San Francisco, CA"
"$3,195,000",,,,2901 Pine St,"Lower Pacific Heights, San Francisco, CA"
"$1,564,000",,,,110 Channel St #606,"Mission Bay, San Francisco, CA"
"$1,625,000",,,,3036 Baker St,"Marina, San Francisco, CA"
"$3,995,000",,,,3036-3038 Baker St,"Marina, San Francisco, CA"
"$749,999",,,,101 Cleo Rand Ln,"Hunters Point, San Francisco, CA"
"$795,000",,,,114 Saint Marys Ave,"Bernal Heights, San Francisco, CA"
"$719,000",,,,210 Broderick St #2,"Panhandle, San Francisco, CA"
"$1,599,000",,,,24 Fair Ave,"Bernal Heights, San Francisco, CA"
"$1,350,000",,,,11 Leese St,"Bernal Heights, San Francisco, CA"
"$2,775,000",,,,425 1st St #2902,"South Beach, San Francisco, CA"
"$2,345,000",,,,1 Hawthorne St #24A,"South Beach, San Francisco, CA"
"$995,000",,,,401 Harrison St #8A,"South Beach, San Francisco, CA"
"$2,000,000",,,,349 S Van Ness Ave,"Mission, San Francisco, CA"
"$5,300,000",,,,2263-2269 Sacramento St,"Pacific Heights, San Francisco, CA"
"$1,995,000",,,,501 Beale St #12D,"South Beach, San Francisco, CA"
"$1,925,000",,,,309 29th Ave,"Central Richmond, San Francisco, CA"
"$1,880,800",,,,500 Rockdale Dr,"Miraloma, San Francisco, CA"
"$1,699,000",,,,1655 20th Ave,"Central Sunset, San Francisco, CA"
"$1,265,000",,,,111 Chestnut St #503,"Fisherman's Wharf, San Francisco, CA"
"$875,000",,,,101 Lombard St #23W,"Fisherman's Wharf, San Francisco, CA"
"$1,798,000",,,,1266 7th Ave,"Inner Sunset, San Francisco, CA"
"$2,550,000",,,,690 Market St #702,"Downtown, San Francisco, CA"
"$1,995,000",,,,1200 California St #21A,"Nob Hill, San Francisco, CA"
Contact For Estimate,,,,1815 Vallejo St,"Pacific Heights, San Francisco, CA"
"$1,499,999",,,,2738 Judah St,"Central Sunset, San Francisco, CA"
"$3,799,000",,,,305 San Carlos St,"Mission, San Francisco, CA"
"$2,995,000",,,,1333 Jones St #1501,"Nob Hill, San Francisco, CA"
"$975,000",,,,55 Richardson Ave,"Marina, San Francisco, CA"
"$649,000",,,,1177 California St #502,"Downtown, San Francisco, CA"
