Price,Bedroom,Bathroom,Square feet,Street,City/State
"$759,000",1bd,1ba,946 sqft,317 29th St #209,"Noe Valley, San Francisco, CA"
"$1,195,000",2bd,2ba,"3,174 sqft",2631 35th Ave,"Central Sunset, San Francisco, CA"
"$995,000",1bd,1ba,"3,603 sqft",1347 27th Ave,"Central Sunset, San Francisco, CA"
"$795,000+",2bd,1ba,831 sqft,1300 22nd St #109,"Potrero Hill, San Francisco, CA"
"$950,000",2bd,1ba,"2,200 sqft",3010 Franklin St #5,"Marina, San Francisco, CA"
"$1,688,000",1bd,2ba,"1,325 sqft",535-537 Fell St,"Hayes Valley, San Francisco, CA"
"$1,795,000",6bd,3ba,"1,385 sqft",1691-1699 47th Ave,"Outer Sunset, San Francisco, CA"
"$1,059,000+",1bd,1ba,"1,730 sqft",338 Potrero Ave #608,"Potrero Hill, San Francisco, CA"
"$1,280,000",4bd,2ba,"1,107 sqft",547 36th Ave,"Outer Richmond, San Francisco, CA"
"$1,490,000+",3bd,2ba,"1,218 sqft",Residence 05 Plan in 1450 Franklin,"Civic Center, San Francisco, CA"
"$895,000",2bd,2ba,"1,041 sqft",50 Hearst Ave,"Sunnyside, San Francisco, CA"
"$1,950,000",2bd,1ba,"1,032 sqft",300 Beale St #613,"South Beach, San Francisco, CA"
"$899,000",6bd,2ba,"2,000 sqft",1070 Post St #2,"Civic Center, San Francisco, CA"
"$688,000",1bd,3ba,"1,130 sqft",1666 45th Ave,"Outer Sunset, San Francisco, CA"
"$949,000",2bd,1ba,"1,824 sqft",146 Beulah St,"Haight, San Francisco, CA"
"$1,275,000",3bd,2ba,"1,330 sqft",318 Arguello Blvd #2,"Laurel Heights, San Francisco, CA"
"$625,000",3bd,1ba,"1,880 sqft",1925 Leavenworth St #10,"Russian Hill, San Francisco, CA"
"$699,000",2bd,1ba,835 sqft,1767 43rd Ave,"Outer Sunset, San Francisco, CA"
"$968,000",1bd,2ba,"3,350 sqft",2007 28th Ave,"Central Sunset, San Francisco, CA"
"$799,000",3bd,1ba,"2,100 sqft",730 Gates St,"Bernal Heights, San Francisco, CA"
"$795,000",3bd,1ba,"2,217 sqft",60 De Long St,"Outer Mission, San Francisco, CA"
"$975,000",2bd,2ba,"1,915 sqft",4151 23rd St,"Noe Valley, San Francisco, CA"
"$799,000",3bd,2ba,"1,210 sqft",243 Farallones St,"Oceanview, San Francisco, CA"
"$585,000",3bd,1ba,840 sqft,1461 Revere Ave,"Bayview, San Francisco, CA"
"$1,695,000",3bd,2ba,657 sqft,695 Castro St,"Castro, San Francisco, CA"
"$899,000",3bd,1ba,"1,416 sqft",238 Thrift St,"Ingleside, San Francisco, CA"
"$1,295,000",5bd,1ba,860 sqft,715 Mangels Ave,"Westwood Highlands, San Francisco, CA"
"$998,000",2bd,2ba,"1,070 sqft",2462 24th Ave,"Central Sunset, San Francisco, CA"
"$888,000",2bd,4ba,"1,050 sqft",1906 Sloat Blvd,"Outer Sunset, San Francisco, CA"
"$580,000",3bd,5ba,840 sqft,10 Inca Ln #1,"Western Addition, San Francisco, CA"
"$750,000",3bd,1ba,"3,612 sqft",201 Harrison St #1126,"South Beach, San Francisco, CA"
"$1,275,000",5bd,2ba,675 sqft,1776 Sacramento St #311,"Nob Hill, San Francisco, CA"
"$798,000",3bd,2ba,"2,959 sqft",1551 Filbert St #4,"Cow Hollow, San Francisco, CA"
"$875,000",1bd,3ba,"1,744 sqft",4153 23rd St,"Noe Valley, San Francisco, CA"
"$998,000",2bd,4ba,"5,118 sqft",1030 Ortega St,"Inner Sunset, San Francisco, CA"
"$1,350,000",4bd,2ba,"1,300 sqft",121 Lower Ter,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$2,595,000",6bd,2ba,"1,550 sqft",1320 Chestnut St,"Marina, San Francisco, CA"
"$528,000",4bd,2ba,"4,376 sqft",77 7th Ave #E,"Lake Street, San Francisco, CA"
"$1,395,000",1bd,3ba,481 sqft,2133 Balboa St,"Central Richmond, San Francisco, CA"
"$1,495,000",2bd,6ba,"1,595 sqft",344 3rd Ave,"Inner Richmond, San Francisco, CA"
"$1,649,000",2bd,5ba,"2,655 sqft",1402 Kearny St,"Telegraph Hill, San Francisco, CA"
"$1,199,000",10bd,2ba,"2,200 sqft",2101 Baker St #10,"Pacific Heights, San Francisco, CA"
"$650,000",2bd,2ba,"1,356 sqft",1731 Palou Ave,"Silver Terrace, San Francisco, CA"
"$1,700,000",2bd,2ba,"1,213 sqft",522 Steiner St,"Hayes Valley, San Francisco, CA"
"$525,000",3bd,4ba,"1,435 sqft",240 Lombard St #233,"Fisherman's Wharf, San Francisco, CA"
"$1,749,000",4bd,3ba,"1,162 sqft",64 Cervantes Blvd,"Marina, San Francisco, CA"
"$1,250,000",2bd,2ba,"1,000 sqft",2418 17th Ave,"Inner Parkside, San Francisco, CA"
"$599,000",2bd,3ba,661 sqft,451 Kansas St #352,"Potrero Hill, San Francisco, CA"
"$1,280,000",3bd,3ba,"1,474 sqft",547-549 36th Ave,"Outer Richmond, San Francisco, CA"
"$1,099,000",2bd,1ba,744 sqft,655 5th St #19,"Mission Bay, San Francisco, CA"
"$1,249,000",3bd,1ba,"1,595 sqft",567 Page St,"Hayes Valley, San Francisco, CA"
"$1,090,000",2bd,2ba,"1,180 sqft",814 31st Ave,"Central Richmond, San Francisco, CA"
"$788,800",4bd,3ba,410 sqft,566 Mangels Ave,"Sunnyside, San Francisco, CA"
"$799,000",3bd,2ba,"2,471 sqft",338 Faxon Ave,"Ingleside, San Francisco, CA"
"$695,000",2bd,1ba,"3,073 sqft",532 Arlington St,"Glen Park, San Francisco, CA"
"$750,000",3bd,3ba,"4,125 sqft",109 S Lake Merced Hls #1F,"San Francisco, CA"
"$1,149,000",2bd,2ba,995 sqft,474 Melrose Ave,"Westwood Highlands, San Francisco, CA"
